Name	ID	Date	Time		Latitude	Longitude	Speed
Odissa	401777	1/10/2019	07:00		47.630360	07.557740	0.56
Odaline	401778	1/10/2019	07:00		47.630767	07.558200	0.74
Onissoi	401776	1/10/2019	07:00		47.630538	07.556850	0.56
TERMINATED - 401775	401775	1/10/2019	07:01		47.622258	07.535473	1.85
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	08:00		47.630228	07.557767	0.19
Odissa	401777	1/10/2019	08:00		47.630582	07.557630	0.56
Onissoi	401776	1/10/2019	08:00		47.630892	07.558700	1.3
Odaline	401778	1/10/2019	08:00		47.630283	07.557695	0.93
TERMINATED - 401775	401775	1/10/2019	08:00		47.621785	07.535167	0.56
Onissoi	401776	1/10/2019	09:00		47.628620	07.560007	1.48
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	09:00		47.627500	07.559652	0.74
Odaline	401778	1/10/2019	09:00		47.627722	07.559847	0.37
Odissa	401777	1/10/2019	09:00		47.627490	07.559105	0.19
TERMINATED - 401775	401775	1/10/2019	09:00		47.622090	07.535332	0.37
Onissoi	401776	1/10/2019	10:00		47.628282	07.560913	1.67
Odissa	401777	1/10/2019	10:00		47.627933	07.560858	0.56
Odaline	401778	1/10/2019	10:00		47.627810	07.561395	0.37
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	10:00		47.628425	07.561020	0.56
Odaline	401778	1/10/2019	11:00		47.628903	07.560658	0.56
Onissoi	401776	1/10/2019	11:00		47.628737	07.560880	3.33
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	11:00		47.629335	07.560437	0.56
Odissa	401777	1/10/2019	11:00		47.628820	07.560505	0.37
TERMINATED - 401775	401775	1/10/2019	11:01		47.621887	07.535180	1.67
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	12:00		47.629773	07.559142	0.56
Odissa	401777	1/10/2019	12:00		47.630167	07.558693	2.04
Onissoi	401776	1/10/2019	12:00		47.630763	07.558643	0.56
Odaline	401778	1/10/2019	12:00		47.630258	07.558678	0.37
TERMINATED - 401775	401775	1/10/2019	12:00		47.622165	07.535017	0.19
Odaline	401778	1/10/2019	13:00		47.631098	07.558803	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	13:00		47.629812	07.559063	0.56
Onissoi	401776	1/10/2019	13:00		47.629770	07.558973	0.19
Odissa	401777	1/10/2019	13:00		47.630187	07.558352	0.19
TERMINATED - 401775	401775	1/10/2019	13:01		47.621813	07.535097	0.74
Odaline	401778	1/10/2019	14:00		47.630583	07.558323	0
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	14:00		47.629890	07.558648	0.37
Odissa	401777	1/10/2019	14:00		47.630257	07.558320	0.74
Onissoi	401776	1/10/2019	14:00		47.630890	07.558392	2.41
Onissoi	401776	1/10/2019	15:00		47.629892	07.557677	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	15:00		47.629802	07.558700	0.37
Odissa	401777	1/10/2019	15:00		47.629637	07.557772	0.93
Odaline	401778	1/10/2019	15:00		47.630212	07.557927	0.37
Onissoi	401776	1/10/2019	16:00		47.629777	07.559592	0.37
Odaline	401778	1/10/2019	16:00		47.630278	07.560208	0.37
TERMINATED - 401774 lost (ex-Olocen)	401774	1/10/2019	16:00		47.629870	07.559953	0.19
