Name	ID	Date	Time		Latitude	Longitude		Speed
TERMINATED - 401770	401770	1/13/2019	16:00		47.632858	07.555778		0.37
 TERMINATED - 401773	401773	1/13/2019	16:00		47.632547	07.554732		0.56
TERMINATED - 401771	401771	1/13/2019	16:00		47.629755	07.554035		0.37
TERMINATED - 401771	401771	1/13/2019	17:00		47.632135	07.554335		0.56
TERMINATED - 401770	401770	1/13/2019	17:00		47.632335	07.554568		0.93
 TERMINATED - 401773	401773	1/13/2019	17:00		47.631850	07.554582		0.74
TERMINATED - 401771	401771	1/13/2019	18:00		47.630823	07.555060		0.37
 TERMINATED - 401773	401773	1/13/2019	18:00		47.631360	07.555472		0.56
TERMINATED - 401770	401770	1/13/2019	18:00		47.631453	07.555052		0
TERMINATED - 401771	401771	1/13/2019	19:00		47.630863	07.554983		4.63
TERMINATED - 401770	401770	1/13/2019	19:00		47.631297	07.555383		3.89
 TERMINATED - 401773	401773	1/13/2019	19:00		47.630873	07.555000		5.19
 TERMINATED - 401773	401773	1/13/2019	20:00		47.632108	07.554925		0.37
TERMINATED - 401771	401771	1/13/2019	20:00		47.631115	07.554220		0.19
TERMINATED - 401770	401770	1/13/2019	20:00		47.631327	07.553862		0.37
TERMINATED - 401770	401770	1/13/2019	21:00		47.631518	07.553987		0.74
 TERMINATED - 401773	401773	1/13/2019	21:00		47.632520	07.553930		0.19
TERMINATED - 401771	401771	1/13/2019	21:01		47.632118	07.554272		0.56
TERMINATED - 401770	401770	1/13/2019	22:00		47.632217	07.554013		1.11
TERMINATED - 401771	401771	1/13/2019	22:00		47.633480	07.554130		1.67
 TERMINATED - 401773	401773	1/13/2019	22:00		47.632420	07.553683		0.56
TERMINATED - 401770	401770	1/13/2019	23:00		47.632277	07.553833		2.41
TERMINATED - 401771	401771	1/13/2019	23:00		47.632438	07.553603		0.74
 TERMINATED - 401773	401773	1/13/2019	23:00		47.633050	07.554167		0.37
TERMINATED - 401770	401770	1/14/2019	00:00		47.632452	07.553922		0.19
TERMINATED - 401771	401771	1/14/2019	00:00		47.632083	07.553595		3.7
 TERMINATED - 401773	401773	1/14/2019	00:01		47.614020	07.554285		2.96
TERMINATED - 401770	401770	1/14/2019	01:00		47.631182	07.554908		0.93
 TERMINATED - 401773	401773	1/14/2019	01:00		47.632260	07.554755		0.93
TERMINATED - 401771	401771	1/14/2019	01:00		47.632290	07.554547		0.37
TERMINATED - 401770	401770	1/14/2019	02:00		47.631670	07.554828		0.37
TERMINATED - 401771	401771	1/14/2019	02:00		47.632393	07.553403		0.74
 TERMINATED - 401773	401773	1/14/2019	02:00		47.632457	07.554255		0.56
 TERMINATED - 401773	401773	1/14/2019	03:00		47.632285	07.554212		0.19
TERMINATED - 401770	401770	1/14/2019	03:00		47.631983	07.553805		0.19
TERMINATED - 401771	401771	1/14/2019	03:00		47.631602	07.553953		0.19
TERMINATED - 401771	401771	1/14/2019	04:00		47.632628	07.554193		0.56
 TERMINATED - 401773	401773	1/14/2019	04:00		47.632785	07.553063		0.74
TERMINATED - 401770	401770	1/14/2019	04:00		47.631820	07.554357		0.19
TERMINATED - 401771	401771	1/14/2019	05:00		47.632502	07.554095		0.19
 TERMINATED - 401773	401773	1/14/2019	05:00		47.632840	07.554132		0.56
TERMINATED - 401770	401770	1/14/2019	05:00		47.631553	07.554332		0.74
TERMINATED - 401770	401770	1/14/2019	06:00		47.631462	07.554068		0.19
 TERMINATED - 401773	401773	1/14/2019	06:00		47.632830	07.554477		0
