Name	ID	Date	Time		Latitude	Longitude	Speed
TERMINATED - 401707	401707	9/3/2020	09:00		47.628488	07.561370	0
Onissoi	401776	9/3/2020	10:00		47.629688	07.562467	0.74
TERMINATED - 401775	401775	9/3/2020	10:00		47.630062	07.563025	0.37
Odissa	401777	9/3/2020	10:00		47.629805	07.563007	0.56
TERMINATED - 401707	401707	9/3/2020	10:00		47.629902	07.562583	1.11
Onissoi	401776	9/3/2020	11:00		47.630248	07.562147	0.56
Odissa	401777	9/3/2020	11:00		47.630240	07.563195	0.56
TERMINATED - 401707	401707	9/3/2020	11:00		47.629685	07.562640	0
Odissa	401777	9/3/2020	12:00		47.630433	07.563243	0.93
TERMINATED - 401707	401707	9/3/2020	12:00		47.629862	07.563415	0.37
Onissoi	401776	9/3/2020	12:00		47.629750	07.562655	0.37
TERMINATED - 401775	401775	9/3/2020	12:01		47.629685	07.562700	0.19
TERMINATED - 401707	401707	9/3/2020	13:00		47.630173	07.562908	2.96
Onissoi	401776	9/3/2020	13:00		47.630993	07.562135	2.22
TERMINATED - 401775	401775	9/3/2020	13:00		47.629673	07.562695	0.19
Odissa	401777	9/3/2020	13:00		47.629597	07.562687	2.04
Odissa	401777	9/3/2020	14:00		47.629823	07.563208	0.37
Onissoi	401776	9/3/2020	14:00		47.629850	07.562910	0.74
TERMINATED - 401707	401707	9/3/2020	14:00		47.629713	07.562713	0.74
TERMINATED - 401707	401707	9/3/2020	15:00		47.629988	07.562578	0.19
Onissoi	401776	9/3/2020	15:00		47.630063	07.562520	0
Odissa	401777	9/3/2020	15:00		47.630213	07.562728	1.11
Onissoi	401776	9/3/2020	16:00		47.629525	07.562860	0.37
TERMINATED - 401707	401707	9/3/2020	16:00		47.630922	07.560882	0
Odissa	401777	9/3/2020	16:00		47.629753	07.562838	0.56
TERMINATED - 401775	401775	9/3/2020	16:01		47.629607	07.562762	0.19
TERMINATED - 401775	401775	9/3/2020	17:00		47.629577	07.562848	0.19
Odissa	401777	9/3/2020	17:00		47.629755	07.562977	0.74
Onissoi	401776	9/3/2020	17:00		47.629190	07.562903	1.3
TERMINATED - 401707	401707	9/3/2020	17:00		47.629828	07.562422	0.19
TERMINATED - 401707	401707	9/3/2020	18:00		47.629638	07.562500	0
TERMINATED - 401775	401775	9/3/2020	18:00		47.629737	07.563322	0.93
Onissoi	401776	9/3/2020	18:00		47.629962	07.562618	0.74
Odissa	401777	9/3/2020	18:01		47.630025	07.562737	0.37
Onissoi	401776	9/3/2020	19:00		47.629635	07.562712	0.37
TERMINATED - 401707	401707	9/3/2020	19:00		47.630102	07.562568	0.19
Odissa	401777	9/3/2020	19:00		47.629785	07.562875	0.56
TERMINATED - 401775	401775	9/3/2020	19:01		47.629622	07.562632	0.19
Onissoi	401776	9/3/2020	20:00		47.628523	07.558115	0
TERMINATED - 401707	401707	9/3/2020	20:00		47.625988	07.557773	1.48
Odissa	401777	9/3/2020	20:00		47.628275	07.558188	1.11
TERMINATED - 401775	401775	9/3/2020	20:00		47.628512	07.558015	3.33
TERMINATED - 401707	401707	9/3/2020	21:00		47.630078	07.558972	0.37
Onissoi	401776	9/3/2020	21:00		47.630032	07.558663	0.37
TERMINATED - 401775	401775	9/3/2020	21:00		47.630212	07.558403	0.19
Odissa	401777	9/3/2020	21:00		47.631088	07.558315	2.04
TERMINATED - 401775	401775	9/3/2020	22:00		47.630490	07.558433	1.67
Odissa	401777	9/3/2020	22:01		47.629790	07.559257	0.56
Onissoi	401776	9/3/2020	22:01		47.629597	07.559078	0.37
TERMINATED - 401707	401707	9/3/2020	23:00		47.630345	07.558388	1.11
Odissa	401777	9/3/2020	23:00		47.631165	07.558765	0.74
Onissoi	401776	9/3/2020	23:00		47.631115	07.558490	0.37
TERMINATED - 401707	401707	9/4/2020	00:00		47.630367	07.558970	0.37
Odissa	401777	9/4/2020	00:00		47.631002	07.559683	0.37
Onissoi	401776	9/4/2020	00:00		47.630970	07.559695	0.93
TERMINATED - 401775	401775	9/4/2020	00:00		47.630798	07.559505	0.37
TERMINATED - 401707	401707	9/4/2020	01:00		47.630510	07.558562	0.37
Odissa	401777	9/4/2020	01:00		47.630045	07.558360	0.93
Onissoi	401776	9/4/2020	01:00		47.630178	07.558225	0.19
TERMINATED - 401775	401775	9/4/2020	01:00		47.630288	07.558670	0.56
TERMINATED - 401707	401707	9/4/2020	02:00		47.630892	07.556638	0.37
Odissa	401777	9/4/2020	02:00		47.630492	07.557097	0.19
TERMINATED - 401775	401775	9/4/2020	02:00		47.630762	07.556727	0.19
Onissoi	401776	9/4/2020	02:00		47.630210	07.556380	0.56
TERMINATED - 401775	401775	9/4/2020	03:00		47.630983	07.557912	0.37
Onissoi	401776	9/4/2020	03:00		47.630668	07.556475	0.37
Odissa	401777	9/4/2020	04:00		47.630387	07.557063	2.41
Onissoi	401776	9/4/2020	04:00		47.630037	07.556583	1.3
TERMINATED - 401707	401707	9/4/2020	04:00		47.630648	07.556982	0.74
TERMINATED - 401775	401775	9/4/2020	04:00		47.630590	07.557022	0
TERMINATED - 401707	401707	9/4/2020	05:00		47.630918	07.557150	0.56
TERMINATED - 401775	401775	9/4/2020	05:00		47.630888	07.557838	0.37
Odissa	401777	9/4/2020	05:00		47.631432	07.557370	0.19
Onissoi	401776	9/4/2020	05:00		47.630120	07.556393	0.74
TERMINATED - 401775	401775	9/4/2020	06:00		47.630358	07.558598	0.56
TERMINATED - 401707	401707	9/4/2020	06:00		47.630478	07.558875	0.37
Odissa	401777	9/4/2020	06:00		47.630575	07.559585	0.37
Onissoi	401776	9/4/2020	06:00		47.630125	07.556413	0.19
TERMINATED - 401707	401707	9/4/2020	07:00		47.631040	07.560383	0
Onissoi	401776	9/4/2020	07:00		47.630992	07.560302	0.37
TERMINATED - 401775	401775	9/4/2020	07:00		47.631458	07.560588	0.74
