year	season	plot_nr	total_cover	cover_moss	height1_1	height1_2	height1_3	height1_4	height1_5	height1_6	height1_7	height1_8	height1_9	height1_10	height2_1	height2_2	height2_3	height2_4	height2_5	height2_6	height2_7	height2_8	height2_9	height2_10	species1	species2	species3	cover-sp1	cover-sp2	cover-sp3	cut_y_n	grazed_y_n
2021	summer	A08	95	10	6.5	5.5	8	3.5	42.5	5.5	21	1.5	24	8	8.5	18	23	3	3	14.5	3.5	4	11	0	Festuca ovina 	Carex flacca	Picris hieraceoides	20	10	25	N	Y
2021	summer	A09	85	0	5.5	6	6.5	3	7.5	8.5	6	2	14	12	0	7.5	0	6	0	1.5	5.5	4.5	9	19.5	Erigeron annuus 	Agrostis stolonifera 	Plantago lanceolata 	30	10	5	N	Y
2021	summer	A10	80	0	0	5.5	5.5	28	11	0	5.5	3	0	0	7.5	10.5	0	10	8	3.5	6	11.5	0	5	Medicago lupulina 	Bromus inermis	Festuca ovina	40	10	5	N	Y
2021	summer	A11	95	10	4	5.5	23.5	4	25.5	4.5	6.5	3	2.5	9	8.5	29.5	5	6	5.5	0	8	3.5	6.5	25.5	Festuca ovina	Agrostis stolonifera	Medicago lupulina	20	10	20	N	Y
2021	summer	A12	50	10	6.5	14.5	0	7	5	10.5	0	6	0	0	12	0	0	5	3	6.5	0	0	5.5	4.5	Juncus inflexus	Agrostis stolonifera 	Poa trivialis	40	15	5	N	Y
2021	summer	A13	85	0	9	28.5	0	0	3	19	7	5	3	3.5	5	0	8.5	9.5	0	6.5	8	12.5	19	0	Festuca ovina	Bromes sterilis 	Plantago lanceolata 	20	10	20	N	Y
2021	summer	A14	70	20	3.5	9.5	1.5	1	0	2.5	1	0	1	2	4	3.5	4	4.5	4	7	2	7.5	2.5	4.5	Agrostis stolonifera	Festuca ovina	Medicago lupulina	20	15	5	N	Y
2021	summer	A15	98	8	16	6.5	13	3	19	4	6.5	21	2.5	3	21.5	3	9.5	2.5	20.5	7	0	3	12.5	23	Equisetum arvense	Medicago lupulina 	Holcus lanatus	25	30	5	N	Y
2021	summer	A16	95	0	14.5	10.5	18	22	0	0	12	13.5	5.5	3	0	0	6	0	21.5	11	20	5.5	27	10.5	Bromus hordaceous	Seculigera varia	Vulpia myuros	15	25	2	N	Y
2021	summer	A17	90	0	6.5	13.5	12.5	8	4	5.5	7	6.5	6.5	5	8	9	7.5	3	4.5	7.5	11	8.5	0	6	Calamagrostis epigeios	Dactilys glomerata	Seculigera varia	30	20	15	N	Y
2021	summer	A18	95	0	5	5	6.5	9.5	6	5.5	6	5	5	5.5	5	17	5.5	6	6	7	9.5	2.5	1	1.5	Festuca ovina	Agrostis stolonifera	Coronilla coronata 	25	30	25	N	Y
2021	summer	A19	70	0	1	7	9.5	10.5	0	6.5	8.5	9	0	13	15	16.5	5	8	8	9	0	0	0	0	Gallium mollugo 	Poa palustris 	Bromus sterilis	30	20	5	N	Y
2021	summer	A20	80	0	4	3	11	0	2	3	3.5	0	4.5	3	0	3.5	14.5	6	4	3	0	2.5	0	4.5	Agrostis stolonifera 	Arenaria serpillifolia 	Plantago lanceolata 	15	20	10	N	Y
2021	summer	A21	85	0	3	18.5	13	13.5	7	1.5	19.5	8	2.5	7.5	6.5	8	25	6	22.5	1	26	19	7.5	16	Petroraghia prolifera 	Crepis vesicaria	Bromes sterilis 	15	30	5	N	Y
2021	summer	A22	40	30	2.5	4.5	4	0	0	0	12.5	0	7	0	0	34	19	4.5	8	0	4.5	18.5	1	0	Vulpia myuros 	Arenaria serpillifolia 	Plantago lanceolata 	3	5	5	N	Y
2021	summer	A23	25	5	0	3.5	0	3	10	8	0	0	4.5	0	0	0	0	3	0	8.5	1	3	5.5	22.5	Petroraghia prolifera 	Medicago lupulina	Erigeron annuus 	5	7	3	N	N
2021	summer	A24	40	5	5	12.5	0	10.5	0	12	0	4.5	6.5	0	8	12.5	7	8	0	0	7.5	12.5	3	7.5	Plantago lanceolata	Arenaria serpillifolia 	Medicago lupulina 	15	3	5	N	Y
2021	summer	A25	30	0	7	3	0	1.5	3.5	12	2	2.5	0	3.5	2.5	0.5	3	0	7.5	4.5	8	8	0	0	Equisetum palustre 	Agrostis gigantea	Trifolium arvense 	5	5	5	N	Y
2021	summer	A26	90	0	12.5	12	8	51	10	39	0	4.5	3	11	3.5	0	9.5	62.5	0	14	11.5	14.5	52	13.5	Festuca pratensis	Dactylis glomerata	Medicago lupulina	30	15	20	N	Y
2021	summer	A27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021	summer	A28	90	0	33.5	44	47	19.5	27	0	36.5	29.5	8	17	19.5	23	27	40	16.5	0	15	37.5	22	17	Vulpia myuros 	Solidago gigantea	Poa palustris	30	15	3	Y	Y
2021	summer	A29	90	0	8.5	5.5	5.5	17	11	6	11.5	11.5	33	6.5	8	4.5	7	7	0.5	16	7.5	11	26	0	Festuca pratensis	Medicago lupulina	Plantago lanceolata	15	30	25	N	Y
2021	summer	A30	95	0	4.5	5.5	0	30	12.5	13	5	7.5	8	0	0	14.5	5	2.5	17	6	8	37	42	5	Festuca ovina	Festuca pratensis	Plantago lanceolata	20	10	10	N	Y
2021	summer	A31	70	0	13.5	0	35.5	3	9.5	4.5	10	9.5	0	8	5.5	14	9.5	11	14	0	0	1	0	6.5	Festuca pratensis 	Festuca ovina	Plantago lanceolata	15	5	8	N	Y
2021	summer	A32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021	summer	A33	50	0	18	53	0	0	0.5	16	25	12	21.5	2	0	15.5	0	0	0	2.5	0	29	28	7	Holcus lanatus 	Agrostis stolonifera	Seculigera varia	15	5	5	N	Y
2021	summer	A34	70	0	0	9.5	0	6	6	14	7	0	0	5	10	5.5	0.5	9	7	6	6	4	6.5	7.5	Dactylis glomerata 	Festuca pratensis 	Bromus sterilis 	25	10	5	N	Y
2021	summer	A35	85	0	12	0	0	18	16.5	0	46.5	9	14	11	4	12	13	6.5	11	49	0	8	12.5	9	Festuca pratensis	Festuca ovina	Plantago lanceolata	40	10	10	N	Y
2021	summer	A36	70	5	0	8	0	8.5	4	0	3.5	4	10.5	10	5	3	0	4	19	0	11.5	4.5	7	11	Festuca pratensis	Festuca rubra	Festuca ovina	15	8	5	N	Y
2021	summer	A37	80	10	14	0	59	0	1	9.5	49	7	11.5	0	5	13	12	0	14.5	30.5	3.5	7	7.5	45	Festuca rubra	Plantago lanceolata	Seculigera varia	20	20	20	N	Y
2021	summer	A38	80	5	7.5	3	0	5.5	6	6.5	8	7.5	28	14.5	4	2	5.5	6.5	53	11	0	8.5	12	10.59	Agrostis stolonifera	Festuca ovina	Petroraghia prolifera	15	10	10	N	Y
2021	summer	A39	85	0	2	11.5	14	0	8.5	0	7	5	8	4	5	5	4	9	11.5	6.5	22	5	4	8	Coronilla coronata	Festuca pratensis	Plantago lanceolata	30	40	20	N	Y
